sample,local_idx,sample_idx,rf_seed,Vs1,H,CoV,Vs2,f0,reference,method,f_peak,A_peak,delta_f_peak,delta_ln_A_peak,gof_af,rel_l2,pearson,sigma_ln_spatial_mean
0,39,333,8297897,158.22102378729463,32.0,0.2937549220398068,1194.9507193914058,1.2361017483382393,OpenSees 2-D,OpenSees 2-D,1.29751718044281,6.474710941314697,0.0,0.0,0.0,0.0,1.0,0.1922020011841047
0,39,333,8297897,158.22102378729463,32.0,0.2937549220398068,1194.9507193914058,1.2361017483382393,OpenSees 2-D,GINO,1.1832406520843506,7.714248657226562,-0.1142765283584594,0.175165129483465,0.1548795919193886,0.2997918208249744,0.8534836884025713,0.1527574462543209
0,39,333,8297897,158.22102378729463,32.0,0.2937549220398068,1194.9507193914058,1.2361017483382393,OpenSees 2-D,1D Base Case,1.2390621900558472,12.763615608215332,-0.0584549903869628,0.6786946283339372,0.191982919599556,0.487440806097625,0.8349386053539374,6.221564245184813e-17
0,39,333,8297897,158.22102378729463,32.0,0.2937549220398068,1194.9507193914058,1.2361017483382393,OpenSees 2-D,Pretell's approach,1.4694918394088743,15.736568450927734,0.1719746589660644,0.8880832403460133,0.1422248035961868,0.71360969665613,0.7482330254674218,0.2410480123060383
0,39,333,8297897,158.22102378729463,32.0,0.2937549220398068,1194.9507193914058,1.2361017483382393,OpenSees 2-D,Toro Vs,1.194200038909912,5.335870889760759,-0.1033171415328979,-0.1934518520723342,0.1655571848285537,0.304832068605425,0.8348728554806093,
0,39,333,8297897,158.22102378729463,32.0,0.2937549220398068,1194.9507193914058,1.2361017483382393,OpenSees 2-D,Passeri tts,1.2390621900558472,11.895936296522915,-0.0584549903869628,0.6082928897890308,0.1899077245557751,0.4613400828640329,0.8424815760414844,
0,39,333,8297897,158.22102378729463,32.0,0.2937549220398068,1194.9507193914058,1.2361017483382393,OpenSees 2-D,Pretell,1.1723817586898804,7.618606656689539,-0.1251354217529297,0.1626895352049024,0.1769219695809007,0.3705491601583152,0.8159516801145359,
1,339,2655,4347320,228.34419907752724,53.0,0.1308274684473872,1106.143249038946,1.0770952786675814,OpenSees 2-D,OpenSees 2-D,1.0593147277832031,15.239457130432127,0.0,0.0,0.0,0.0,1.0,0.0736122093899957
1,339,2655,4347320,228.34419907752724,53.0,0.1308274684473872,1106.143249038946,1.0770952786675814,OpenSees 2-D,GINO,1.0544427633285522,12.906488418579102,-0.0048719644546508,-0.1661577651603976,0.0670976016553838,0.1415471278722765,0.9839883243823492,0.0896662766254761
1,339,2655,4347320,228.34419907752724,53.0,0.1308274684473872,1106.143249038946,1.0770952786675814,OpenSees 2-D,1D Base Case,1.079028844833374,12.766247749328612,0.0197141170501709,-0.1770831346497189,0.0694128804103587,0.2639751999015866,0.9377017276044884,6.521011677841651e-17
1,339,2655,4347320,228.34419907752724,53.0,0.1308274684473872,1106.143249038946,1.0770952786675814,OpenSees 2-D,Pretell's approach,1.0840144157409668,17.957494735717773,0.0246996879577636,0.1641196335531646,0.0542637254142366,0.2514566964479279,0.9494141297096428,0.1160945897111055
1,339,2655,4347320,228.34419907752724,53.0,0.1308274684473872,1106.143249038946,1.0770952786675814,OpenSees 2-D,Toro Vs,1.0447659492492676,5.335948245212298,-0.0145487785339355,-1.0494213188681456,0.0977787811752508,0.4889710950811863,0.8138374833355734,
1,339,2655,4347320,228.34419907752724,53.0,0.1308274684473872,1106.143249038946,1.0770952786675814,OpenSees 2-D,Passeri tts,1.079028844833374,11.897474614811784,0.0197141170501709,-0.247561767907812,0.0697808554763259,0.2711886666605851,0.936277747969272,
1,339,2655,4347320,228.34419907752724,53.0,0.1308274684473872,1106.143249038946,1.0770952786675814,OpenSees 2-D,Pretell,1.0593147277832031,14.081552018092102,0.0,-0.0790223550484701,0.0415938936604463,0.1697430721224499,0.9726319706363098,
2,188,1399,2413721,189.7341404244504,24.0,0.2855846079066395,895.9073790000466,1.976397296088025,OpenSees 2-D,OpenSees 2-D,1.841896653175354,15.231715202331545,0.0,0.0,0.0,0.0,1.0,0.1107146402794101
2,188,1399,2413721,189.7341404244504,24.0,0.2855846079066395,895.9073790000466,1.976397296088025,OpenSees 2-D,GINO,1.8504070043563845,11.07609748840332,0.0085103511810302,-0.3185903735084177,0.1007629382021095,0.2626755861629335,0.9441875983229394,0.1355157564488318
2,188,1399,2413721,189.7341404244504,24.0,0.2855846079066395,895.9073790000466,1.976397296088025,OpenSees 2-D,1D Base Case,1.9828839302062988,12.756364822387695,0.1409872770309448,-0.1773494317477012,0.1697855370825152,0.4613285956703634,0.7873798054226947,6.019560225405494e-17
2,188,1399,2413721,189.7341404244504,24.0,0.2855846079066395,895.9073790000466,1.976397296088025,OpenSees 2-D,Pretell's approach,1.718839168548584,14.813657760620115,-0.12305748462677,-0.0278302036528328,0.1306654677216006,0.4598618172937604,0.7983378799535287,0.1668508842917455
2,188,1399,2413721,189.7341404244504,24.0,0.2855846079066395,895.9073790000466,1.976397296088025,OpenSees 2-D,Toro Vs,1.911090612411499,5.335995373841521,0.069193959236145,-1.048904338906572,0.166697235725203,0.484569486687756,0.8403110054160263,
2,188,1399,2413721,189.7341404244504,24.0,0.2855846079066395,895.9073790000466,1.976397296088025,OpenSees 2-D,Passeri tts,1.9828839302062988,11.891513538789244,0.1409872770309448,-0.2475547828427075,0.169142095563627,0.4499447860256063,0.7971238995151302,
2,188,1399,2413721,189.7341404244504,24.0,0.2855846079066395,895.9073790000466,1.976397296088025,OpenSees 2-D,Pretell,1.7999285459518433,10.24488073561282,-0.0419681072235107,-0.3966016401538028,0.0485851050273623,0.2323923426633398,0.9704267285300197,
3,403,3229,5719993,130.42607289849633,83.0,0.2976677659898996,943.9792966622842,0.3928496171641455,OpenSees 2-D,OpenSees 2-D,0.356904923915863,20.21380615234375,0.0,0.0,0.0,0.0,1.0,0.2841667950602723
3,403,3229,5719993,130.42607289849633,83.0,0.2976677659898996,943.9792966622842,0.3928496171641455,OpenSees 2-D,GINO,0.3520031571388244,14.41547393798828,-0.0049017667770385,-0.3380636351720832,0.176392285195168,0.2815803242256247,0.9575019075645564,0.2113921283462318
3,403,3229,5719993,130.42607289849633,83.0,0.2976677659898996,943.9792966622842,0.3928496171641455,OpenSees 2-D,1D Base Case,0.3931828737258911,12.76666259765625,0.036277949810028,-0.459528555037242,0.4353893271054015,0.6528554561132771,0.5924177899294133,8.253612017247459e-17
3,403,3229,5719993,130.42607289849633,83.0,0.2976677659898996,943.9792966622842,0.3928496171641455,OpenSees 2-D,Pretell's approach,0.3239742517471313,14.327404975891112,-0.0329306721687316,-0.3441917087006566,0.3823484147007823,0.6365990864416655,0.6315413976030101,0.2780051847022893
3,403,3229,5719993,130.42607289849633,83.0,0.2976677659898996,943.9792966622842,0.3928496171641455,OpenSees 2-D,Toro Vs,0.3806979954242706,5.336040057807144,0.0237930715084075,-1.3318820281637975,0.3906439147993695,0.6272088715394544,0.7282428556256907,
