feature,mi
log_f,0.38273890091928475
CoV,0.05391731265842292
z_mean,0.04457465116310377
H,0.04423266007433213
vs_surface,0.013466100490120425
vs_macro_mean,0.011710966970765568
vs_norm_std,0.01126229609758056
vs_norm_mean,0.010581715477911757
vs_norm_deep,0.00970640991716909
vs_lat_grad,0.007834039776423829
vs_rf_rms,0.007730931012081221
vs_norm_mid,0.00727635057027598
vs_norm_surf,0.0022718203174383333
x_grid,0.0021890003971618555
x_trunk,0.002137937991525618
zeta_norm_mean,1.9984014443252818e-15
zeta_norm_std,1.9984014443252818e-15
