feature,mi
f_star,0.7916543359257648
log_f,0.3824886857456411
x_over_lambda,0.34174563426743987
sin_f,0.3395641104529181
cos_f,0.09045166323588827
CoV,0.05422872935956313
z_mean,0.04417352794498086
H,0.044023923206720994
vs_surface,0.013467696483339786
vs_macro_mean,0.011673680032312284
vs_norm_std,0.011312602200713506
vs_norm_mean,0.010506320608866027
vs_norm_deep,0.009708940734015847
vs_lat_grad,0.007997735624233115
vs_rf_rms,0.007838422506956988
vs_norm_mid,0.007280668130946744
x_grid,0.002263103085629048
vs_norm_surf,0.0021974317721573655
x_trunk,0.002130805774328337
zeta_norm_std,1.9984014443252818e-15
zeta_norm_mean,1.9984014443252818e-15
