feature,mi
f_star,0.7916538083926747
x_over_lambda,0.34174587471045115
sin_f,0.3394412136753937
cos_f,0.09042763967788225
xi_3_im,0.054803779137071906
xi_1_im,0.05253003320223204
xi_6_re,0.05228805160471772
r_H,0.05180509185592541
xi_2_re,0.05061269582307837
xi_6_im,0.050608719349227727
xi_8_im,0.05037520178806609
xi_7_im,0.04985302217882914
xi_2_im,0.04958421490904019
xi_3_re,0.04951275466094884
xi_5_re,0.04923163988281676
xi_4_re,0.048830726219337706
xi_7_re,0.04863275472864892
xi_4_im,0.048558483234061534
xi_1_re,0.04827265597340524
xi_5_im,0.04816316993797276
xi_8_re,0.04710545128475019
imp_grad,0.008378704225581401
dist_edge,0.002420052384161764
x_over_L,0.002329036449891575
dip_slope,1.9984014443252818e-15
