feature,perm_importance_mean,perm_importance_std,rf_gini_importance
log_f,0.29376782073288765,0.006646057779733427,0.23317539712005678
H,0.06958351750929363,0.0022264076685922403,0.047481652374259616
z_mean,0.06279873083676313,0.0025976772324842897,0.0455533011712438
vs_surface,0.045820732969916234,0.001710029557342979,0.09016468910757548
CoV,0.04410741585646445,0.006161930125281842,0.06266465551178725
vs_norm_std,0.02867274324351219,0.003247857816831803,0.06352553738227074
vs_norm_deep,0.022841046507579732,0.003110127462764581,0.06850440583610237
vs_rf_rms,0.015284819253952342,0.002735953113908489,0.06980322304745801
vs_norm_surf,0.007510090517558199,0.002112722887782972,0.059383578274600536
vs_norm_mid,0.005714276237462001,0.001833360026799512,0.05758652605538134
vs_macro_mean,0.003812317630073514,0.0014941541337222652,0.04715955913822556
vs_norm_mean,0.003703521671517196,0.0015293552049164972,0.04252779232550367
zeta_norm_mean,8.881784197001253e-17,1.0877919644084148e-16,0.0
zeta_norm_std,1.1102230246251566e-17,7.771561172376097e-17,0.0
x_grid,-0.0006769771570724226,0.0006549951641155806,0.01898339273997724
x_trunk,-0.0007306324760840254,0.0005840489525622912,0.020638010839085015
vs_lat_grad,-0.001931437023261473,0.001650677628864806,0.07284827907647272
