feature,perm_importance_mean,perm_importance_std,rf_gini_importance
f_star,1.0114722496276924,0.022045960335013978,0.5786181198588383
CoV,0.037510683571680484,0.004149480196887557,0.05984048368381553
vs_norm_deep,0.01579332454261617,0.004851340083605636,0.037666654881584834
vs_surface,0.011146807471375985,0.00262000939255268,0.04222878810603665
vs_norm_surf,0.00980527239731659,0.00207734760058366,0.029057730079801586
cos_f,0.006767531075272337,0.0022216916081059016,0.012946225728403515
x_over_lambda,0.006467581238425257,0.003124961945197744,0.026210129919589154
log_f,0.00620053950612307,0.0018542398387805831,0.009834807090792576
vs_norm_std,0.00607735467103635,0.0017358836805946418,0.03421614053085555
vs_lat_grad,0.002643405528799536,0.003250474715859268,0.03701641603593921
vs_norm_mid,0.0014271384695728085,0.0013707605754234966,0.021294099305351658
H,0.0009705004719266275,0.0006359560020539022,0.009770801825532263
z_mean,0.0009493161832923258,0.0005862145880818115,0.010536521753813278
sin_f,0.00027907945408865985,0.0009071713170321693,0.008130218371854098
zeta_norm_mean,-1.1102230246251566e-17,3.33066907387547e-17,0.0
zeta_norm_std,-3.3306690738754695e-17,5.087681048627601e-17,0.0
x_grid,-0.0005102339716156146,0.000541435821619956,0.007139200874810363
vs_macro_mean,-0.000620150786559337,0.0018385144288695693,0.02333556972429464
vs_norm_mean,-0.000680977342125777,0.0009628821196064208,0.015663659360712442
x_trunk,-0.0009917028681290184,0.00034372594857740794,0.0082105436752324
vs_rf_rms,-0.0011710216932039664,0.0017195426490577656,0.028283889192742023
