feature,perm_importance_mean,perm_importance_std,rf_gini_importance
f_star,1.0965997640236609,0.012312571207898346,0.5696499696347541
cos_f,0.04532105743361894,0.008633215008423527,0.01691031048253682
xi_4_re,0.007558416671243429,0.0027779980959098433,0.023489977407487945
sin_f,0.0072474087738713,0.0013407121037567074,0.0113736576879294
xi_8_im,0.0062989943376427935,0.002247472392094814,0.02372283674150943
x_over_lambda,0.005671653599964388,0.0029849471981131127,0.01855715215652186
xi_7_re,0.005093454298435074,0.0013644512927029526,0.022617685301222604
xi_2_re,0.0039640464104166665,0.00138310334186332,0.01710622929252093
xi_1_re,0.003378284742283155,0.0016287711113258526,0.017433677378784068
xi_2_im,0.0032487576760218293,0.0006317901044211173,0.016042719346196374
dist_edge,0.003216207301039975,0.0023726977193319035,0.024379757378058566
imp_grad,0.002528856842235472,0.0012776714632340693,0.023411869763700587
xi_8_re,0.002251671428520274,0.0013333923426995108,0.024447688741381594
xi_7_im,0.002210367096805499,0.0010165071551100065,0.02008738626782989
xi_4_im,0.0017201792102720325,0.00042446416988568434,0.014079697741348646
xi_3_re,0.0016592255869155026,0.0016247320016164113,0.020619696833636226
xi_6_im,0.0015092105728867545,0.0011307845772381387,0.01581129807123448
xi_3_im,0.001129510806701095,0.0013562349249428575,0.019458639215991405
xi_1_im,0.001035374141335288,0.0011446625750145016,0.01827874761351862
xi_5_im,0.0009753348207579227,0.0008817198130747192,0.018259871034253708
xi_6_re,0.0008127477488589329,0.0006742870370390161,0.01767353053356217
x_over_L,0.000157045172474779,0.00028298688093654235,0.009536252031891141
r_H,0.00010259210870179336,0.0012433324752934214,0.01786316563465044
dip_slope,0.0,0.0,0.0
xi_5_re,-0.0009224879615599479,0.0007873659024348882,0.019188183709478935
