feature,mean_abs_shap
f_star,0.5219299176568256
cos_f,0.04378908529120099
imp_grad,0.01663558588465809
x_over_lambda,0.014545897968741681
xi_8_im,0.014020972279484564
xi_3_im,0.013776409688263921
sin_f,0.01331984556357343
xi_7_im,0.011136377748167569
xi_8_re,0.009812514088621297
xi_7_re,0.009616700870818017
xi_1_re,0.009339092641847301
r_H,0.008619035799316372
dist_edge,0.008580916612496972
xi_2_re,0.007453145696516038
xi_5_im,0.00721853922156964
xi_3_re,0.007017764109023267
xi_4_re,0.006888769565206373
xi_6_im,0.006605900750513874
xi_1_im,0.006504187733885113
xi_2_im,0.0062085487627510216
xi_6_re,0.006151473455206944
xi_5_re,0.006118920554118493
xi_4_im,0.005036588159126014
x_over_L,0.003304705527427043
dip_slope,0.0
