feature,mi,band
f_star,0.6623810368409133,low
r_H,0.2112383610207429,low
cos_f,0.18118642910256444,low
sin_f,0.17533712583809447,low
xi_3_im,0.16326310500031926,low
xi_7_im,0.16292865823375635,low
xi_8_im,0.16115078246386094,low
xi_6_re,0.15991855807187694,low
xi_1_re,0.15985636921775281,low
xi_5_im,0.15848428327373565,low
xi_3_re,0.15817740281588843,low
xi_2_im,0.15809804814715367,low
xi_8_re,0.15667083161252204,low
xi_4_im,0.15665582205604345,low
xi_6_im,0.1562231345395162,low
xi_2_re,0.15541206815529574,low
xi_5_re,0.15530449946089675,low
xi_4_re,0.15524488513582924,low
xi_1_im,0.1542558319004339,low
xi_7_re,0.14911888339428447,low
x_over_lambda,0.13838672158670562,low
imp_grad,0.0524412800334364,low
dip_slope,1.9984014443252818e-15,low
dist_edge,0.0,low
x_over_L,0.0,low
f_star,0.5805839805670017,mid
r_H,0.09072929140776242,mid
xi_3_re,0.073504504787687,mid
xi_1_re,0.07283951064517336,mid
xi_3_im,0.07174786909772468,mid
xi_5_im,0.07149286130761645,mid
xi_2_re,0.07141309176930122,mid
xi_4_im,0.07126368389788773,mid
xi_5_re,0.07059396674134355,mid
xi_6_re,0.07051918545692537,mid
xi_8_im,0.0705189412666094,mid
xi_4_re,0.07017809724492619,mid
xi_7_im,0.07005791399835104,mid
xi_1_im,0.0699115011173772,mid
xi_8_re,0.06967461222872107,mid
xi_6_im,0.0694921430100246,mid
xi_7_re,0.06864556019862622,mid
xi_2_im,0.06626821498543656,mid
sin_f,0.025286711050594768,mid
x_over_lambda,0.01721473615082747,mid
imp_grad,0.014176478766934508,mid
cos_f,0.005298355314368397,mid
x_over_L,0.0011313032944908485,mid
dip_slope,1.9984014443252818e-15,mid
dist_edge,0.0,mid
f_star,0.27518121504070514,high
cos_f,0.025469192238197103,high
sin_f,0.024521605248562395,high
x_over_lambda,0.01957483755681544,high
r_H,0.018813351831107994,high
xi_4_im,0.01557546760453743,high
xi_7_re,0.012035942035478087,high
xi_7_im,0.010168176624707037,high
xi_5_im,0.010106639016767893,high
xi_3_im,0.009963838404241976,high
xi_6_im,0.009794345107619229,high
xi_8_re,0.008809082323203654,high
xi_4_re,0.007394376604245245,high
xi_8_im,0.007343430872708723,high
xi_5_re,0.007247983917341827,high
xi_1_re,0.006653859337252932,high
xi_2_re,0.006222857541061444,high
xi_6_re,0.005954956857072702,high
xi_3_re,0.0059305788656836,high
xi_1_im,0.0058809623649827,high
xi_2_im,0.004767464520498699,high
x_over_L,0.00399492671724655,high
imp_grad,0.0025631619344368417,high
dip_slope,1.9984014443252818e-15,high
dist_edge,0.0,high
f_star,0.7916538083926747,all
x_over_lambda,0.34174587471045115,all
sin_f,0.3394412136753937,all
cos_f,0.09042763967788225,all
xi_3_im,0.054803779137071906,all
xi_1_im,0.05253003320223204,all
xi_6_re,0.05228805160471772,all
r_H,0.05180509185592541,all
xi_2_re,0.05061269582307837,all
xi_6_im,0.050608719349227727,all
xi_8_im,0.05037520178806609,all
xi_7_im,0.04985302217882914,all
xi_2_im,0.04958421490904019,all
xi_3_re,0.04951275466094884,all
xi_5_re,0.04923163988281676,all
xi_4_re,0.048830726219337706,all
xi_7_re,0.04863275472864892,all
xi_4_im,0.048558483234061534,all
xi_1_re,0.04827265597340524,all
xi_5_im,0.04816316993797276,all
xi_8_re,0.04710545128475019,all
imp_grad,0.008378704225581401,all
dist_edge,0.002420052384161764,all
x_over_L,0.002329036449891575,all
dip_slope,1.9984014443252818e-15,all
