feature,mi,band
f_star,0.8952444383308897,low
r_H,0.27567719337267604,low
xi_8_re,0.23378211709333385,low
xi_7_im,0.23336412056863853,low
xi_6_re,0.2324921742894821,low
xi_1_im,0.231952585139525,low
xi_3_im,0.23150472847155612,low
xi_6_im,0.23127161690132159,low
xi_1_re,0.23053129790036753,low
xi_2_im,0.23051018119896316,low
cos_f,0.22970356973837802,low
xi_3_re,0.22882578111052965,low
xi_8_im,0.22812644755941758,low
xi_5_im,0.22809856468151413,low
xi_2_re,0.22660319020231334,low
xi_4_re,0.22660316058983287,low
xi_5_re,0.22553873798771384,low
xi_7_re,0.22374390892768048,low
xi_4_im,0.22297805367972057,low
sin_f,0.2227237260136734,low
x_over_lambda,0.1744851737976134,low
imp_grad,0.04439746622285945,low
dip_slope,1.9984014443252818e-15,low
dist_edge,0.0,low
x_over_L,0.0,low
f_star,0.6562118181157226,mid
r_H,0.13292811951564953,mid
xi_1_re,0.12426276002557035,mid
xi_7_re,0.12061916169969411,mid
xi_4_re,0.12037983495848437,mid
xi_2_im,0.1200310153739057,mid
xi_6_im,0.12000289912743067,mid
xi_6_re,0.1182717904380075,mid
xi_2_re,0.11790644064929534,mid
xi_7_im,0.11772937237474501,mid
xi_8_re,0.11697022548824432,mid
xi_3_re,0.11687181126190893,mid
xi_8_im,0.11566156203453914,mid
xi_1_im,0.11564308044173366,mid
xi_5_re,0.115236166375845,mid
xi_4_im,0.11509913410570327,mid
xi_3_im,0.11327846100494554,mid
xi_5_im,0.11261284497706381,mid
sin_f,0.025598410743302047,mid
x_over_lambda,0.019025798473781386,mid
imp_grad,0.007916954039169255,mid
cos_f,0.00589228266131947,mid
x_over_L,0.001144285302494552,mid
dip_slope,1.9984014443252818e-15,mid
dist_edge,0.0,mid
f_star,0.2689904791474138,high
cos_f,0.03621673964822403,high
sin_f,0.03550110592196809,high
x_over_lambda,0.025057126165360266,high
r_H,0.024813381643712162,high
xi_6_re,0.014161317706256504,high
xi_3_im,0.013616077890921119,high
xi_2_im,0.012704128481559884,high
xi_1_re,0.012698819706971953,high
xi_5_re,0.011426594727627304,high
xi_8_re,0.010473765988194828,high
xi_5_im,0.01020514620481272,high
xi_1_im,0.009388092141054294,high
xi_7_re,0.009387275676242979,high
xi_4_re,0.00931933831531051,high
xi_4_im,0.009131515454719796,high
xi_7_im,0.009027028764803546,high
xi_6_im,0.00900871284483351,high
xi_8_im,0.007341323675171374,high
xi_3_re,0.00714728077563187,high
xi_2_re,0.004586227988206737,high
imp_grad,0.0027630585250557615,high
dip_slope,1.9984014443252818e-15,high
dist_edge,0.0,high
x_over_L,0.0,high
f_star,0.8676830290078144,all
sin_f,0.34504735880794346,all
x_over_lambda,0.3401368993188818,all
cos_f,0.10749162770110932,all
xi_8_re,0.07981031308656306,all
xi_6_im,0.0771618181874647,all
xi_7_im,0.07641577619349604,all
xi_5_im,0.07553939845782764,all
xi_8_im,0.0752893649647417,all
xi_1_re,0.07411829956542437,all
r_H,0.07406659278172878,all
xi_3_im,0.0740416741846337,all
xi_1_im,0.07395772083487007,all
xi_5_re,0.07380712741679929,all
xi_2_im,0.07265835294360379,all
xi_3_re,0.0724324038437798,all
xi_4_re,0.07164152124348622,all
xi_4_im,0.0713699226616864,all
xi_2_re,0.07053206332248685,all
xi_7_re,0.06882836297533945,all
xi_6_re,0.06867842686486902,all
imp_grad,0.00820756934776945,all
dip_slope,1.9984014443252818e-15,all
dist_edge,0.0,all
x_over_L,0.0,all
