feature,perm_importance_mean,perm_importance_std,rf_gini_importance
f_star,1.0438708636876037,0.011205593210113728,0.6129726948409506
xi_4_re,0.015436928904467916,0.002180807321744482,0.027163682741090454
cos_f,0.010861323666318179,0.002035749859258193,0.013473327715803838
xi_2_re,0.010749232341832648,0.002733926847397298,0.018426441823868843
xi_1_re,0.008256510266509698,0.0015291668909899585,0.01722996939534978
sin_f,0.005805887340188054,0.0014182908657768656,0.011655605766133536
xi_7_re,0.004347020457323702,0.0008511756623939097,0.01648139962241003
imp_grad,0.0038122428866906753,0.0011421743355763611,0.022762248216648146
xi_1_im,0.003702947389292455,0.0008453323326198688,0.018831585784935167
xi_6_re,0.003612248298167764,0.0009615983885167238,0.016477540049710835
xi_7_im,0.0035783318779318172,0.0010352619065911901,0.016820222242457706
x_over_lambda,0.00357174301131481,0.0016037251367979205,0.016960576278101682
xi_8_im,0.0035455708198443127,0.0016861695563913114,0.020689907527316927
xi_3_re,0.0034969427889139705,0.000669130714395634,0.016095937251655763
xi_5_im,0.003174196121127526,0.000707194251798837,0.014632779722553786
r_H,0.0027983778998258656,0.0007838041498194673,0.014752367341970033
xi_2_im,0.0019557702808990717,0.0008818687248567816,0.01259440720452282
dist_edge,0.0019472520950431504,0.0025035602211019646,0.02023632573810567
xi_6_im,0.0019080018868008809,0.0006545845001849625,0.016000239928208357
xi_5_re,0.001665342137845427,0.0007338755830435846,0.0133632930415627
xi_4_im,0.0013695151500168867,0.0007232613966960426,0.014659858114888727
xi_8_re,0.0010728862950575846,0.0009998234411397542,0.024724512911897794
xi_3_im,0.000992562513552764,0.0007509857032379174,0.014024060042706933
dip_slope,0.0,0.0,0.0
x_over_L,-0.0009002826608901615,0.0003100302593402285,0.008971016697149746
